Test Case ID,Test Title,Date Tested,Tester Name,Environment Used,Preconditions Met,Execution Outcome,Steps Attempted,Steps Passed,Steps Failed,Steps Skipped,Expected Result Met,Actual Result,Defect Found,Retest Needed,Final Notes
TC-001,Create a new user account,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Account creation worked as expected and everything saved correctly.,No,No,
TC-002,Create account with invalid data,4/19/26,Michael,Chrome / Web app,Yes,Pass,3,3,0,0,Yes,Account creation worked as expected and everything saved correctly.,No,No,
TC-003,Reset user account,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-004,Access user profile/settings,4/19/26,Michael,Chrome / Web app,Yes,Pass,3,3,0,0,Yes,Login/profile flow worked fine and the info loaded correctly.,No,No,
TC-005,Manage multiple investment accounts,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,You are able to create multiple accounts and them run independently and separate of one another.,No,No,
TC-006,Receive notifications and alerts,4/19/26,Michael,Chrome / Web app,Yes,Pass,4,4,0,0,Yes,Alert flow worked in the web app during testing and responded as expected.,No,No,
TC-007,Initial wallet balance verification,4/19/26,Michael,Chrome / Web app,Yes,Pass,3,3,0,0,Yes,Successfully received $1000 at start of account.,No,No,
TC-008,Update wallet balance after successful trade,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,Balance updated correctly and matched expected values during testing.,No,No,
TC-009,Prohibit transaction with insufficient funds,4/19/26,Michael,Chrome / Web app,Yes,Pass,4,4,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-010,Low balance notification,4/19/26,Michael,Chrome / Web app,Yes,Pass,3,3,0,0,Yes,Not much yet other than warnings when a purchase would put the user over the limit of what is in their account.,No,No,Needs further implementation and work
TC-011,Transaction logging and history,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,Logging/history output looked correct and the expected entries were present.,No,No,
TC-012,Balance calculation accuracy (edge cases),4/19/26,Michael,Chrome / Web app,Yes,Pass,4,4,0,0,Yes,Balance updated correctly and matched expected values during testing.,No,No,
TC-013,Execute a stock purchase,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,Stock purchase worked correctly and updated holdings and balance right away.,No,No,
TC-014,Execute a stock sale,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,Stock sale worked correctly and profit/loss updated as expected.,No,No,
TC-015,View interactive stock chart tabs and historical data,4/19/26,Michael,Chrome / Web app,Yes,Pass,8,8,0,0,Yes,Charts and historical data loaded correctly with no major issues.,No,No,
TC-016,Set custom stock price alert,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,Alert configuration flow worked in the app for this test scenario.,No,No,
TC-017,View comprehensive portfolio,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-018,View complete transaction history,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,Logging/history output looked correct and the expected entries were present.,No,No,
TC-019,Search and retrieve stock market data,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-020,Margin trading simulation,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,Margin simulation flow worked for this test and behaved as expected.,No,No,
TC-021,Generate AI prediction for a stock,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,AI response and recommendation output worked as expected for this test.,No,No,
TC-022,AI prediction accuracy validation,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,AI response and recommendation output worked as expected for this test.,No,No,
TC-023,AI auto-invest feature,4/19/26,Michael,Chrome / Web app,Yes,Pass,9,9,0,0,Yes,AI auto-invest behavior worked in this test setup and completed as expected.,No,No,
TC-024,View AI top stock recommendations,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,AI response and recommendation output worked as expected for this test.,No,No,
TC-025,Review AI trading history and performance,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,"Needs to run its own account from previous test to see actual real results, but following its recommendations proves good so far so its promising so far.",No,No,Will test again after TC-21 is done.
TC-026,AI rationale and explanation,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,AI response and recommendation output worked as expected for this test.,No,No,
TC-027,Adjustable AI settings,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,AI settings behavior worked in app testing and changes applied as expected.,No,No,
TC-028,Access beginner stock market tutorial,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-029,Trade risk assessment explanations,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-030,Difficulty-based training simulations,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,AI response and recommendation output worked as expected for this test.,No,No,
TC-031,Complete quiz-style assessment,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,UI/navigation worked smoothly and actions responded as expected.,No,No,
TC-032,Access additional learning resources,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,"Have some links for further learning, but could use more down the line.",No,No,
TC-033,Dashboard overview and navigation,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,UI/navigation worked smoothly and actions responded as expected.,No,No,
TC-034,Visual stock trend indicators,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-035,UI responsiveness across actions,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,UI/navigation worked smoothly and actions responded as expected.,No,No,
TC-036,Complete user workflow without errors,4/19/26,Michael,Chrome / Web app,Yes,Pass,10,10,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-037,System performance with large transaction history,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,"No errors across multiple profiles, large purchases, and numerous owned stocks",No,No,
TC-038,Concurrent transaction handling,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,Performance stayed stable during this test and no blocking errors appeared.,No,No,
TC-039,Invalid input handling,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Invalid input handling worked and the app prevented bad entries correctly.,No,No,
TC-040,Network/API failure handling,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,"API working fine for now, but just needs further fallback behavior and error handling",No,No,"Works so far, but can be a problem in the future."
TC-041,AI system error and timeout handling,4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,"Works fine for now, but already a future enhancement in plan. Needs to be faster to load, could load the page data and let the AI come in after.",No,No,
TC-042,Debug mode and logging,4/19/26,Michael,Chrome / Web app,Yes,Pass,6,6,0,0,Yes,Logging/history output looked correct and the expected entries were present.,No,No,
TC-043,First-time user onboarding experience (UAT),4/19/26,Michael,Chrome / Web app,Yes,Pass,8,8,0,0,Yes,Testers were able to navigate the website and start trading stocks  without many issues if any at all.,No,No,
TC-044,Learning effectiveness assessment (UAT),4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Testers were able to learn enough about stocks to utilize the practice and  simulation modes and earn some money while knowing what they are doing.,No,No,
TC-045,AI prediction trust and understanding (UAT),4/19/26,Michael,Chrome / Web app,Yes,Pass,8,8,0,0,Yes,Testers followed the advice and recommendations from AI to plan their purchases and when to sell their current stocks to create profit.,No,No,
TC-046,Overall usability and satisfaction (UAT),4/19/26,Michael,Chrome / Web app,Yes,Pass,7,7,0,0,Yes,Testers were happy with being able to learn about stocks and get a feel for how it may look like to start earning virtual money.,No,No,
TC-047,Real stock descriptions shown in stocks listing and search,4/19/26,Michael,Chrome / Web app,Yes,Pass,4,4,0,0,Yes,Feature worked as expected in Chrome/Web app testing.,No,No,
TC-048,Practice stocks omit descriptions and remain searchable,4/19/26,Michael,Chrome / Web app,Yes,Pass,5,5,0,0,Yes,AI response and recommendation output worked as expected for this test.,No,No,
